Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_str * any_anx,Difference,-0.0177,0.0004,-0.0185,-0.0169,1
Table e_any_str * any_phb,Row 1,0.0077,0.0001,0.0074,0.0079,
Table e_any_str * any_phb,Row 2,0.0125,0.0002,0.0121,0.0129,
Table e_any_str * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_str * any_phb,Difference,-0.0048,0.0002,-0.0053,-0.0044,1
Table e_any_str * any_ptsd,Row 1,0.0012,0.0001,0.0011,0.0013,
Table e_any_str * any_ptsd,Row 2,0.0042,0.0001,0.0040,0.0045,
Table e_any_str * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_str * any_ptsd,Difference,-0.0030,0.0001,-0.0033,-0.0028,1
Table e_any_str * any_som,Row 1,0.0026,0.0001,0.0024,0.0027,
Table e_any_str * any_som,Row 2,0.0042,0.0001,0.0040,0.0044,
Table e_any_str * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_str * any_som,Difference,-0.0016,0.0001,-0.0019,-0.0014,1
Table e_any_str * any_psy,Row 1,0.0011,0.0000,0.0010,0.0012,
Table e_any_str * any_psy,Row 2,0.0027,0.0001,0.0025,0.0029,
Table e_any_str * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_str * any_psy,Difference,-0.0016,0.0001,-0.0018,-0.0014,1
Table e_any_str * any_oth,Row 1,0.0301,0.0003,0.0296,0.0306,
Table e_any_str * any_oth,Row 2,0.0533,0.0004,0.0526,0.0541,
Table e_any_str * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_str * any_oth,Difference,-0.0232,0.0005,-0.0241,-0.0223,1
Table e_any_str * any_slp,Row 1,0.0424,0.0003,0.0418,0.0430,
Table e_any_str * any_slp,Row 2,0.0706,0.0005,0.0698,0.0715,
Table e_any_str * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_str * any_slp,Difference,-0.0282,0.0005,-0.0293,-0.0271,1
Table e_any_str * any_sex,Row 1,0.0010,0.0000,0.0009,0.0011,
Table e_any_str * any_sex,Row 2,0.0017,0.0001,0.0016,0.0018,
Table e_any_str * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_str * any_sex,Difference,-0.0007,0.0001,-0.0008,-0.0005,1
Table e_any_str * any_per,Row 1,0.0009,0.0000,0.0009,0.0010,
Table e_any_str * any_per,Row 2,0.0020,0.0001,0.0019,0.0022,
Table e_any_str * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_str * any_per,Difference,-0.0011,0.0001,-0.0013,-0.0009,1
Table e_any_str * any_sui,Row 1,0.0017,0.0001,0.0016,0.0019,
Table e_any_str * any_sui,Row 2,0.0056,0.0001,0.0053,0.0058,
Table e_any_str * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_str * any_sui,Difference,-0.0038,0.0001,-0.0041,-0.0036,1
Table e_any_str * any_con,Row 1,0.0384,0.0003,0.0379,0.0390,
Table e_any_str * any_con,Row 2,0.0476,0.0004,0.0469,0.0484,
Table e_any_str * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_str * any_con,Difference,-0.0092,0.0005,-0.0101,-0.0083,1
Table e_any_str * any_dev,Row 1,0.0203,0.0002,0.0199,0.0208,
Table e_any_str * any_dev,Row 2,0.0286,0.0003,0.0280,0.0291,
Table e_any_str * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_str * any_dev,Difference,-0.0082,0.0004,-0.0089,-0.0075,1
Table e_any_str * any_stm,Row 1,0.0108,0.0002,0.0105,0.0111,
Table e_any_str * any_stm,Row 2,0.0143,0.0002,0.0139,0.0148,
Table e_any_str * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_str * any_stm,Difference,-0.0035,0.0003,-0.0040,-0.0030,1
Table e_any_anx * any_adhd,Row 1,0.0338,0.0002,0.0333,0.0343,
Table e_any_anx * any_adhd,Row 2,0.0632,0.0006,0.0621,0.0644,
Table e_any_anx * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_anx * any_adhd,Difference,-0.0294,0.0006,-0.0307,-0.0282,1
Table e_any_anx * any_sub,Row 1,0.0055,0.0001,0.0053,0.0056,
Table e_any_anx * any_sub,Row 2,0.0097,0.0002,0.0093,0.0102,
Table e_any_anx * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_anx * any_sub,Difference,-0.0043,0.0002,-0.0048,-0.0038,1
Table e_any_anx * any_chad,Row 1,0.0556,0.0003,0.0550,0.0561,
Table e_any_anx * any_chad,Row 2,0.0939,0.0007,0.0925,0.0953,
Table e_any_anx * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_anx * any_chad,Difference,-0.0384,0.0008,-0.0398,-0.0369,1
Table e_any_anx * any_dep,Row 1,0.0362,0.0002,0.0357,0.0367,
Table e_any_anx * any_dep,Row 2,0.0601,0.0006,0.0590,0.0612,
Table e_any_anx * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_anx * any_dep,Difference,-0.0239,0.0006,-0.0251,-0.0227,1
Table e_any_anx * any_str,Row 1,0.0144,0.0002,0.0141,0.0147,
Table e_any_anx * any_str,Row 2,0.0272,0.0004,0.0264,0.0280,
Table e_any_anx * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_anx * any_str,Difference,-0.0128,0.0004,-0.0136,-0.0120,1
Table e_any_anx * any_anx,Row 1,0.0243,0.0002,0.0239,0.0246,
Table e_any_anx * any_anx,Row 2,0.0506,0.0005,0.0496,0.0516,
Table e_any_anx * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_anx * any_anx,Difference,-0.0263,0.0006,-0.0274,-0.0252,1
Table e_any_anx * any_phb,Row 1,0.0082,0.0001,0.0080,0.0085,
Table e_any_anx * any_phb,Row 2,0.0147,0.0003,0.0141,0.0152,
Table e_any_anx * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_anx * any_phb,Difference,-0.0064,0.0003,-0.0070,-0.0058,1
Table e_any_anx * any_ptsd,Row 1,0.0019,0.0001,0.0018,0.0020,
Table e_any_anx * any_ptsd,Row 2,0.0043,0.0002,0.0040,0.0046,
Table e_any_anx * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_anx * any_ptsd,Difference,-0.0023,0.0002,-0.0027,-0.0020,1
Table e_any_anx * any_som,Row 1,0.0028,0.0001,0.0027,0.0030,
Table e_any_anx * any_som,Row 2,0.0047,0.0002,0.0044,0.0050,
Table e_any_anx * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_anx * any_som,Difference,-0.0018,0.0002,-0.0022,-0.0015,1
